Sex,Length,Whole weight,Rings
"M",0.655,1.402,13
"F",0.655,1.359,13
"M",0.67,1.669,11
"M",0.67,1.7405,11
"M",0.695,1.51,10
"M",0.695,1.6645,11
"M",0.77,2.0505,11
"I",0.28,0.124,6
"I",0.33,0.14,7
"I",0.35,0.1695,6
"I",0.37,0.218,7
"I",0.43,0.384,8
"I",0.435,0.393,6
"I",0.44,0.3805,6
"M",0.475,0.4895,8
"M",0.475,0.5135,8
"I",0.48,0.4495,8
"F",0.56,0.8025,9
"F",0.585,1.053,11
"F",0.585,0.9945,11
"M",0.385,0.3175,8
"I",0.39,0.344,7
"I",0.39,0.2845,7
"I",0.405,0.3035,7
"I",0.475,0.499,10
"M",0.5,0.577,9
"F",0.515,0.615,8
"M",0.52,0.791,10
"M",0.55,0.8395,10
"M",0.56,0.8675,8
"F",0.565,0.887,11
"M",0.59,0.966,10
"M",0.6,1.176,9
"F",0.625,1.0945,10
"M",0.71,1.9485,12
